geneid	allele	strain	repeatn	repnumber	position
het-d	D1	ChEhDap	d1	1	1
het-d	D1	ChEhDap	d2	2	2
het-d	D1	ChEhDap	d3	3	3
het-d	D1	ChEhDap	d4	4	4
het-d	D1	ChEhDap	d5	5	5
het-d	D1	ChEhDap	d4	4	6
het-d	D1	ChEhDap	d6	6	7
het-d	D1	ChEhDap	d6	6	8
het-d	D1	ChEhDap	d2	2	9
het-d	D1	ChEhDap	d7	7	10
het-d	D1	ChEhDap	d7	7	11
het-d	D2	CsDfp	d1	1	1
het-d	D2	CsDfp	d2	2	2
het-d	D2	CsDfp	d2	2	3
het-d	D2	CsDfp	d4	4	4
het-d	D2	CsDfp	d5	5	5
het-d	D2	CsDfp	d4	4	6
het-d	D2	CsDfp	d8	8	7
het-d	D2	CsDfp	d6	6	8
het-d	D2	CsDfp	d2	2	9
het-d	D2	CsDfp	d9	9	10
het-d	D2	CsDfp	d7	7	11
het-d	D2	PaYp	d1	1	1
het-d	D2	PaYp	d10	10	2
het-d	D2	PaYp	d2	2	3
het-d	D2	PaYp	d4	4	4
het-d	D2	PaYp	d5	5	5
het-d	D2	PaYp	d4	4	6
het-d	D2	PaYp	d6	6	7
het-d	D2	PaYp	d6	6	8
het-d	D2	PaYp	d2	2	9
het-d	D2	PaYp	d11	11	10
het-d	D2	PaYp	d7	7	11
het-d	d3	PaZp	d1	1	1
het-d	d3	PaZp	d2	2	2
het-d	d3	PaZp	d3	3	3
het-d	d3	PaZp	d4	4	4
het-d	d3	PaZp	d5	5	5
het-d	d3	PaZp	d4	4	6
het-d	d3	PaZp	d6	6	7
het-d	d3	PaZp	d6	6	8
het-d	d3	PaZp	d2	2	9
het-d	d3	PaZp	d12	12	10
het-d	d3	PaZp	d7	7	11
het-d	d3	CmEmm	d13	13	1
het-d	d3	CmEmm	d10	10	2
het-d	d3	CmEmm	d10	10	3
het-d	d3	CmEmm	d4	4	4
het-d	d3	CmEmm	d5	5	5
het-d	d3	CmEmm	d4	4	6
het-d	d3	CmEmm	d6	6	7
het-d	d3	CmEmm	d6	6	8
het-d	d3	CmEmm	d2	2	9
het-d	d3	CmEmm	d14	14	10
het-d	d3	CmEmm	d6	6	11
het-d	d3	CmEmm	d2	2	12
het-d	d3	CoEfp	d1	1	1
het-d	d3	CoEfp	!	0	2
het-d	d3	CoEfp	d2	2	3
het-d	d3	CoEfp	d4	4	4
het-d	d3	CoEfp	d15	15	5
het-d	d3	CoEfp	d7	7	6
het-d	d	PaWa46p	d1	1	1
het-d	d	PaWa46p	d2	2	2
het-d	d	PaWa46p	d2	2	3
het-d	d	PaWa46p	d6	6	4
het-d	d	PaWa46p	d2	2	5
het-d	d	PaWa46p	d11	11	6
het-d	d	PaWa46p	d7	7	7
het-d	d	PaWa53m	d1	1	1
het-d	d	PaWa53m	d10	10	2
het-d	d	PaWa53m	d2	2	3
het-d	d	PaWa53m	d4	4	4
het-d	d	PaWa53m	d5	5	5
het-d	d	PaWa53m	d4	4	6
het-d	d	PaWa53m	d6	6	7
het-d	d	PaWa53m	d2	2	8
het-d	d	PaWa53m	d11	11	9
het-d	d	PaWa53m	d7	7	10
het-d	d	PaWa28m	d1	1	1
het-d	d	PaWa28m	d10	10	2
het-d	d	PaWa28m	d10	10	3
het-d	d	PaWa28m	d6	6	4
het-d	d	PaWa28m	d6	6	5
het-d	d	PaWa28m	d2	2	6
het-d	d	PaWa63p	d10	10	1
het-d	d	PaWa63p	d2	2	2
het-d	d	PaWa63p	d11	11	3
het-d	d	PaWa63p	d7	7	4
het-d	d	PaWa87p	d1	1	1
het-d	d	PaWa87p	d10	10	2
het-d	d	PaWa87p	d16	16	3
het-d	d	PaWa87p	d4	4	4
het-d	d	PaWa87p	d5	5	5
het-d	d	PaWa87p	!	0	6
het-d	d	PaWa87p	d6	6	7
het-d	d	PaWa87p	d6	6	8
het-d	d	PaWa87p	d2	2	9
het-d	d	PaWa87p	d11	11	10
het-d	d	PaWa87p	d7	7	11
het-d	d	PaWa58m	d1	1	1
het-d	d	PaWa58m	d10	10	2
het-d	d	PaWa58m	d2	2	3
het-d	d	PaWa58m	d4	4	4
het-d	d	PaWa58m	d5	5	5
het-d	d	PaWa58m	d4	4	6
het-d	d	PaWa58m	d6	6	7
het-d	d	PaWa58m	d7	7	8
het-d	d	PaWa58m	d2	2	9
het-d	d	PaWa58m	d11	11	10
het-d	d	PaWa58m	d7	7	11
het-d	d	PaWa21m	d1	1	1
het-d	d	PaWa21m	d2	2	2
het-d	d	PaWa21m	d3	3	3
het-d	d	PaWa21m	d4	4	4
het-d	d	PaWa21m	d17	17	5
het-d	d	PaWa21m	d18	18	6
het-d	d	PaWa21m	d6	6	7
het-d	d	PaWa21m	d19	19	8
het-d	d	PaWa21m	d4	4	9
het-d	d	PaWa21m	d18	18	10
het-d	d	PaWa21m	d6	6	11
het-d	d	PaWa100p	d1	1	1
het-d	d	PaWa100p	d2	2	2
het-d	d	PaWa100p	d3	3	3
het-d	d	PaWa100p	d4	4	4
het-d	d	PaWa100p	d5	5	5
het-d	d	PaWa100p	d4	4	6
het-d	d	PaWa100p	d6	6	7
het-d	d	PaWa100p	d6	6	8
het-d	d	PaWa100p	d2	2	9
het-d	d	PaWa100p	d12	12	10
het-d	d	PaWa100p	d7	7	11
het-d	d	PaWa137m	d1	1	1
het-d	d	PaWa137m	d2	2	2
het-d	d	PaWa137m	d4	4	3
het-d	d	PaWa137m	d5	5	4
het-d	d	PaWa137m	d4	4	5
het-d	d	PaWa137m	d6	6	6
het-d	d	PaWa137m	d6	6	7
het-d	d	PaWa137m	d2	2	8
het-d	d	PaWa137m	d11	11	9
het-d	d	PaWa137m	d7	7	10
het-d	d	PaTgp	d1	1	1
het-d	d	PaTgp	d10	10	2
het-d	d	PaTgp	?	0	3
het-d	d	PaTgp	d4	4	4
het-d	d	PaTgp	d5	5	5
het-d	d	PaTgp	d4	4	6
het-d	d	PaTgp	d6	6	7
het-d	d	PaTgp	d6	6	8
het-d	d	PaTgp	d2	2	9
het-d	d	PaTgp	d11	11	10
het-d	d	PaTgp	d7	7	11
het-d	d	Podan2	d13	13	1
het-d	d	Podan2	d10	10	2
het-d	d	Podan2	d20	20	3
het-d	d	Podan2	d6	6	4
het-d	d	Podan2	d2	2	5
het-d	d2Y	likelyWrong	d1	1	1
het-d	d2Y	likelyWrong	d10	10	2
het-d	d2Y	likelyWrong	d2	2	3
het-d	d2Y	likelyWrong	d4	4	4
het-d	d2Y	likelyWrong	d6	6	5
het-d	d2Y	likelyWrong	d6	6	6
het-d	d2Y	likelyWrong	d2	2	7
het-d	d2Y	likelyWrong	d5	5	8
het-d	d2Y	likelyWrong	d4	4	9
het-d	d2Y	likelyWrong	d6	6	10
het-d	d2Y	likelyWrong	d7	7	11
het-d	hetD	PaWa137m-allkmers	d21	21	1
het-d	hetD	PaWa137m-allkmers	d2	2	2
het-d	hetD	PaWa137m-allkmers	d5	5	3
het-d	hetD	PaWa137m-allkmers	d4	4	4
het-d	hetD	PaYp-allkmers	d1	1	1
het-d	hetD	PaYp-allkmers	?	0	2
het-d	hetD	PaYp-allkmers	d4	4	3
het-d	hetD	PaYp-allkmers	d7	7	4
het-d	hetD	PaYp-default	d1	1	1
het-d	hetD	PaYp-default	d10	10	2
het-d	hetD	PaZp-default	d21	21	1
het-d	hetD	PaZp-allkmers	d1	1	1
het-d	hetD	PaZp-allkmers	d2	2	2
het-d	hetD	PaWa63p-allkmers	d10	10	1
het-d	hetD	PaWa63p-allkmers	d2	2	2
het-d	hetD	PaWa63p-allkmers	d11	11	3
het-d	hetD	PaWa63p-allkmers	d7	7	4
het-d	hetD	PaWa63p-default	d10	10	1
het-d	hetD	PaWa63p-default2	d11	11	1
het-d	hetD	PaWa63p-default2	d7	7	2
het-r	R	PaWa63p	r1	1	1
het-r	R	PaWa63p	r2	2	2
het-r	R	PaWa63p	r3	3	3
het-r	R	PaWa63p	r4	4	4
het-r	R	PaWa63p	r5	5	5
het-r	R	PaWa63p	r6	6	6
het-r	R	PaWa63p	r7	7	7
het-r	R	PaWa63p	r8	8	8
het-r	R	PaWa63p	r9	9	9
het-r	R	PaWa63p	r10	10	10
het-r	R	PaWa63p	r11	11	11
het-r	R	PaYp	r1	1	1
het-r	R	PaYp	r2	2	2
het-r	R	PaYp	r3	3	3
het-r	R	PaYp	r4	4	4
het-r	R	PaYp	r5	5	5
het-r	R	PaYp	r6	6	6
het-r	R	PaYp	r7	7	7
het-r	R	PaYp	r8	8	8
het-r	R	PaYp	r9	9	9
het-r	R	PaYp	r10	10	10
het-r	R	PaYp	r11	11	11
het-r	r	PaWa53m	r3	3	1
het-r	r	PaWa21m	r1	1	1
het-r	r	PaWa21m	r2	2	2
het-r	r	PaWa21m	r3	3	3
het-r	r	PaWa21m	r4	4	4
het-r	r	PaWa21m	r5	5	5
het-r	r	PaWa21m	r6	6	6
het-r	r	PaWa21m	r7	7	7
het-r	r	PaWa21m	r8	8	8
het-r	r	PaWa21m	r9	9	9
het-r	r	PaWa21m	r10	10	10
het-r	r	PaWa21m	r11	11	11
het-r	r	PaWa28m	r1	1	1
het-r	r	PaWa28m	r2	2	2
het-r	r	PaWa28m	r3	3	3
het-r	r	PaWa28m	r4	4	4
het-r	r	PaWa28m	r5	5	5
het-r	r	PaWa28m	r6	6	6
het-r	r	PaWa28m	r7	7	7
het-r	r	PaWa28m	r8	8	8
het-r	r	PaWa28m	r9	9	9
het-r	r	PaWa28m	r10	10	10
het-r	r	PaWa28m	r11	11	11
het-r	r	PaWa46p	r1	1	1
