Sequence	RepeatType	Strain	Species	Gene	Allele	SeqID	Position
d1_het-D1__ChEhDap.R10_1	d1	ChEhDap	anserina	het-d	het-D1	1	1
d2_het-D1__ChEhDap.R10_2	d2	ChEhDap	anserina	het-d	het-D1	2	2
d3_het-D1__ChEhDap.R10_3	d3	ChEhDap	anserina	het-d	het-D1	3	3
d4_het-D1__ChEhDap.R10_4	d4	ChEhDap	anserina	het-d	het-D1	4	4
d5_het-D1__ChEhDap.R10_5	d5	ChEhDap	anserina	het-d	het-D1	5	5
d4_het-D1__ChEhDap.R10_6	d4	ChEhDap	anserina	het-d	het-D1	6	6
d6_het-D1__ChEhDap.R10_7	d6	ChEhDap	anserina	het-d	het-D1	7	7
d6_het-D1__ChEhDap.R10_8	d6	ChEhDap	anserina	het-d	het-D1	8	8
d2_het-D1__ChEhDap.R10_9	d2	ChEhDap	anserina	het-d	het-D1	9	9
d7_het-D1__ChEhDap.R10_10	d7	ChEhDap	anserina	het-d	het-D1	10	10
d7_het-D1__ChEhDap.R10_11	d7	ChEhDap	anserina	het-d	het-D1	11	11
d1_het-D2__CsDfp.R10_12	d1	CsDfp	anserina	het-d	het-D2	12	1
d2_het-D2__CsDfp.R10_13	d2	CsDfp	anserina	het-d	het-D2	13	2
d2_het-D2__CsDfp.R10_14	d2	CsDfp	anserina	het-d	het-D2	14	3
d4_het-D2__CsDfp.R10_15	d4	CsDfp	anserina	het-d	het-D2	15	4
d5_het-D2__CsDfp.R10_16	d5	CsDfp	anserina	het-d	het-D2	16	5
d4_het-D2__CsDfp.R10_17	d4	CsDfp	anserina	het-d	het-D2	17	6
d8_het-D2__CsDfp.R10_18	d8	CsDfp	anserina	het-d	het-D2	18	7
d6_het-D2__CsDfp.R10_19	d6	CsDfp	anserina	het-d	het-D2	19	8
d2_het-D2__CsDfp.R10_20	d2	CsDfp	anserina	het-d	het-D2	20	9
d9_het-D2__CsDfp.R10_21	d9	CsDfp	anserina	het-d	het-D2	21	10
d7_het-D2__CsDfp.R10_22	d7	CsDfp	anserina	het-d	het-D2	22	11
d1_het-D2__PaYp_23	d1	PaYp	anserina	het-d	het-D2	23	1
d10_het-D2__PaYp_24	d10	PaYp	anserina	het-d	het-D2	24	2
d2_het-D2__PaYp_25	d2	PaYp	anserina	het-d	het-D2	25	3
d4_het-D2__PaYp_26	d4	PaYp	anserina	het-d	het-D2	26	4
d5_het-D2__PaYp_27	d5	PaYp	anserina	het-d	het-D2	27	5
d4_het-D2__PaYp_28	d4	PaYp	anserina	het-d	het-D2	28	6
d6_het-D2__PaYp_29	d6	PaYp	anserina	het-d	het-D2	29	7
d6_het-D2__PaYp_30	d6	PaYp	anserina	het-d	het-D2	30	8
d2_het-D2__PaYp_31	d2	PaYp	anserina	het-d	het-D2	31	9
d11_het-D2__PaYp_32	d11	PaYp	anserina	het-d	het-D2	32	10
d7_het-D2__PaYp_33	d7	PaYp	anserina	het-d	het-D2	33	11
d1_het-d3__PaZp.R10_34	d1	PaZp	anserina	het-d	het-d3	34	1
d2_het-d3__PaZp.R10_35	d2	PaZp	anserina	het-d	het-d3	35	2
d3_het-d3__PaZp.R10_36	d3	PaZp	anserina	het-d	het-d3	36	3
d4_het-d3__PaZp.R10_37	d4	PaZp	anserina	het-d	het-d3	37	4
d5_het-d3__PaZp.R10_38	d5	PaZp	anserina	het-d	het-d3	38	5
d4_het-d3__PaZp.R10_39	d4	PaZp	anserina	het-d	het-d3	39	6
d6_het-d3__PaZp.R10_40	d6	PaZp	anserina	het-d	het-d3	40	7
d6_het-d3__PaZp.R10_41	d6	PaZp	anserina	het-d	het-d3	41	8
d2_het-d3__PaZp.R10_42	d2	PaZp	anserina	het-d	het-d3	42	9
d12_het-d3__PaZp.R10_43	d12	PaZp	anserina	het-d	het-d3	43	10
d7_het-d3__PaZp.R10_44	d7	PaZp	anserina	het-d	het-d3	44	11
d13_het-d3__CmEmm.R10_45	d13	CmEmm	anserina	het-d	het-d3	45	1
d10_het-d3__CmEmm.R10_46	d10	CmEmm	anserina	het-d	het-d3	46	2
d10_het-d3__CmEmm.R10_47	d10	CmEmm	anserina	het-d	het-d3	47	3
d4_het-d3__CmEmm.R10_48	d4	CmEmm	anserina	het-d	het-d3	48	4
d5_het-d3__CmEmm.R10_49	d5	CmEmm	anserina	het-d	het-d3	49	5
d4_het-d3__CmEmm.R10_50	d4	CmEmm	anserina	het-d	het-d3	50	6
d6_het-d3__CmEmm.R10_51	d6	CmEmm	anserina	het-d	het-d3	51	7
d6_het-d3__CmEmm.R10_52	d6	CmEmm	anserina	het-d	het-d3	52	8
d2_het-d3__CmEmm.R10_53	d2	CmEmm	anserina	het-d	het-d3	53	9
d14_het-d3__CmEmm.R10_54	d14	CmEmm	anserina	het-d	het-d3	54	10
d6_het-d3__CmEmm.R10_55	d6	CmEmm	anserina	het-d	het-d3	55	11
d2_het-d3__CmEmm.R10_56	d2	CmEmm	anserina	het-d	het-d3	56	12
d1_het-d3__CoEfp.R10_57	d1	CoEfp	anserina	het-d	het-d3	57	1
!_het-d3__CoEfp.R10_58	!	CoEfp	anserina	het-d	het-d3	58	2
d2_het-d3__CoEfp.R10_59	d2	CoEfp	anserina	het-d	het-d3	59	3
d4_het-d3__CoEfp.R10_60	d4	CoEfp	anserina	het-d	het-d3	60	4
d15_het-d3__CoEfp.R10_61	d15	CoEfp	anserina	het-d	het-d3	61	5
d7_het-d3__CoEfp.R10_62	d7	CoEfp	anserina	het-d	het-d3	62	6
d1_het-d__PaWa21m_63	d1	PaWa21m	anserina	het-d	het-d	63	1
d2_het-d__PaWa21m_64	d2	PaWa21m	anserina	het-d	het-d	64	2
d3_het-d__PaWa21m_65	d3	PaWa21m	anserina	het-d	het-d	65	3
d4_het-d__PaWa21m_66	d4	PaWa21m	anserina	het-d	het-d	66	4
d16_het-d__PaWa21m_67	d16	PaWa21m	anserina	het-d	het-d	67	5
d17_het-d__PaWa21m_68	d17	PaWa21m	anserina	het-d	het-d	68	6
d6_het-d__PaWa21m_69	d6	PaWa21m	anserina	het-d	het-d	69	7
d18_het-d__PaWa21m_70	d18	PaWa21m	anserina	het-d	het-d	70	8
d4_het-d__PaWa21m_71	d4	PaWa21m	anserina	het-d	het-d	71	9
d17_het-d__PaWa21m_72	d17	PaWa21m	anserina	het-d	het-d	72	10
d6_het-d__PaWa21m_73	d6	PaWa21m	anserina	het-d	het-d	73	11
d1_het-d__PaWa28m_74	d1	PaWa28m	anserina	het-d	het-d	74	1
